"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.166666666707909,"0.0693009630932108","2.40496898266393","0.0161758484551004"
"2","`MMTAcura MDX`",-0.166666666707064,"0.0812625823654288","-2.05096443966772","0.0402733047526219"
"3","`MMTAcura RDX`",-0.142570281166692,"0.071762114566659","-1.98670680243487","0.0469579310534714"
"4","`MMTAcura TLX`",-0.166666666708541,"0.0861524015687096","-1.93455624769344","0.0530479100307702"
"5","`MMTAlfa Romeo Giulia`",-0.166666666707434,"0.120032789090476","-1.38850948953462","0.164985400725256"
"6","`MMTAlfa Romeo Stelvio`",-0.166666666709484,"0.109574443709754","-1.52103593745782","0.12825433959247"
"7","`MMTAudi A3`",0.166666666625135,"0.120032789090588","1.38850948884768","0.164985400934286"
"8","`MMTAudi A4/Audi Allroad`",-0.166666666708072,"0.183353113962109","-0.908992834135962","0.363356347566857"
"9","`MMTAudi A5/Audi S5`",-0.166666666708762,"0.0980063618923738","-1.70056987618607","0.0890272467906359"
"10","`MMTAudi A6`",-0.166666666708288,"0.183353113962056","-0.908992834137405","0.363356347566095"
"11","`MMTAudi A7`",-0.166666666708205,"0.183353113961573","-0.908992834139348","0.36335634756507"
"12","`MMTAudi e-tron`",0.333333333290585,"0.138601926185795","2.40496898177124","0.0161758484946109"
"13","`MMTAudi Q3`",-0.16666666670821,"0.0800218593939105","-2.08276423430487","0.0372755414089926"
"14","`MMTAudi Q5`",-0.16666666670836,"0.0837807790641604","-1.98931865482803","0.0466690699817334"
"15","`MMTAudi Q7`",-0.166666666708891,"0.138601926187088","-1.20248449133326","0.229179041446215"
"16","`MMTAudi Q8`",-0.166666666708339,"0.138601926186309","-1.20248449133604","0.229179041445141"
"17","`MMTAudi S4`",-0.166666666707828,"0.138601926186597","-1.20248449132986","0.229179041447534"
"18","`MMTBMW 2 Series`",-0.166666666707097,"0.0848759991306469","-1.96364895157879","0.0495738966098116"
"19","`MMTBMW 3 Series/BMW 3 Series Gran Turismo`",-0.166666666708712,"0.0771702865244258","-2.15972590248138","0.0307965325385699"
