"","MMT","MY","MY_prob_rate"
"1","Acura MDX","2018",0.00900900900879452
"2","Acura MDX","2019",0.0199999999997329
"3","Acura MDX","2020",0.0208333333331347
"4","Acura RDX","2018",0.00292397660835841
"5","Acura RDX","2019",0.00219298245631825
"6","Acura RDX","2020",0.0204870113366682
"7","Acura TLX","2018",-1.93248805042575e-14
"8","Acura TLX","2019",-1.60843689320147e-14
"9","Acura TLX","2020",-1.66848789648086e-14
"10","Alfa Romeo Giulia","2018",5.5198606547117e-14
"11","Alfa Romeo Giulia","2019",5.0178145289404e-14
"12","Alfa Romeo Giulia","2020",4.88966881768716e-14
"13","Alfa Romeo Stelvio","2018",0.0144927536231517
"14","Alfa Romeo Stelvio","2019",-3.63041249926709e-14
"15","Alfa Romeo Stelvio","2020",-3.53269691802614e-14
"16","Audi A3","2018",1.27257985955275e-14
"17","Audi A3","2019",9.80518861308335e-15
"18","Audi A3","2020",6.59437009466363e-15
"19","Audi A4/Audi Allroad","2018",0.0028490028489994
"20","Audi A4/Audi Allroad","2019",-7.89506979770541e-15
"21","Audi A4/Audi Allroad","2020",-7.60558394569348e-15
"22","Audi A5/Audi S5","2018",0.00421940928271553
"23","Audi A5/Audi S5","2019",1.73265613384167e-14
"24","Audi A5/Audi S5","2020",1.69519843752159e-14
"25","Audi A6","2018",-1.78323855674463e-13
"26","Audi A6","2019",0.0144927536230215
"27","Audi A6","2020",-1.65247218458291e-13
"28","Audi A7","2018",-1.11930906823359e-14
"29","Audi A7","2019",-1.01914091810671e-14
"30","Audi A7","2020",-7.85853949344662e-15
"31","Audi e-tron","2019",-4.75306625035889e-14
"32","Audi e-tron","2020",-5.09447562699151e-14
"33","Audi Q3","2018",-2.03847655228352e-14
"34","Audi Q3","2019",0.0333333333333021
"35","Audi Q3","2020",0.0238095238094758
"36","Audi Q5","2018",0.0044941380807655
"37","Audi Q5","2019",0.00294985250737584
"38","Audi Q5","2020",1.0310964214635e-15
"39","Audi Q7","2018",0.00254452926206825
"40","Audi Q7","2019",-1.58430616356237e-14
"41","Audi Q7","2020",-1.59180185206716e-14
"42","Audi Q8","2019",-1.15131078887587e-14
"43","Audi Q8","2020",-9.30097721847319e-15
"44","Audi S4","2018",1.53194676360269e-14
"45","Audi S4","2019",1.43824711497256e-14
"46","Audi S4","2020",1.38010429217224e-14
"47","BMW 2 Series","2018",0.00709219858156359
"48","BMW 2 Series","2019",-1.03638197285578e-14
"49","BMW 2 Series","2020",-1.01894838106838e-14
"50","BMW 3 Series/BMW 3 Series Gran Turismo","2018",0.00432900432898562
"51","BMW 3 Series/BMW 3 Series Gran Turismo","2019",-2.30627552836419e-14
"52","BMW 3 Series/BMW 3 Series Gran Turismo","2020",-1.98798103136198e-14
"53","BMW 4 Series","2018",2.333105413794e-16
"54","BMW 4 Series","2019",-3.58288363924299e-16
"55","BMW 4 Series","2020",-1.03431115772679e-15
"56","BMW 5 Series/BMW 5 Series Gran Turismo","2018",0.0133381398703311
"57","BMW 5 Series/BMW 5 Series Gran Turismo","2019",1.37701214173715e-13
"58","BMW 5 Series/BMW 5 Series Gran Turismo","2020",1.37338116413084e-13
"59","BMW 7 Series","2018",2.85817650417959e-14
"60","BMW 7 Series","2019",2.7508789848068e-14
"61","BMW 7 Series","2020",2.86135575620059e-14
"62","BMW i3","2018",-8.5268225381455e-14
"63","BMW i3","2019",-7.93964258955845e-14
"64","BMW i3","2020",0.0833333333333992
"65","BMW X1","2018",0.0104166666666509
"66","BMW X1","2019",-1.00904396198675e-14
"67","BMW X1","2020",-1.04333740781918e-14
"68","BMW X2","2018",-1.21767296732332e-15
"69","BMW X2","2019",3.9661449462225e-15
"70","BMW X2","2020",5.40050574469072e-15
"71","BMW X3","2018",3.28508935244734e-15
"72","BMW X3","2019",0.00385356454721836
"73","BMW X3","2020",0.00723964382502347
"74","BMW X5","2018",1.40662852517029e-13
"75","BMW X5","2019",0.0194805194806548
"76","BMW X5","2020",0.00793650793663275
"77","BMW X7","2019",0.0555555555555357
"78","BMW X7","2020",-5.27550144988171e-14
"79","Buick Enclave","2018",0.0188679245284374
"80","Buick Enclave","2019",0.00628930817624603
"81","Buick Enclave","2020",1.48533256202961e-13
"82","Buick Encore","2018",3.70113911383061e-14
"83","Buick Encore","2019",4.02247319688991e-14
"84","Buick Encore","2020",3.94534065173195e-14
"85","Buick Envision","2018",3.94700113933645e-14
"86","Buick Envision","2019",0.0107526881720723
"87","Buick Envision","2020",3.75414319510442e-14
"88","Buick LaCrosse","2018",-1.78877602210919e-15
"89","Buick LaCrosse","2019",-3.71285504740711e-15
"90","Buick Regal/Buick Regal TourX","2018",0.0092592592592679
"91","Buick Regal/Buick Regal TourX","2019",1.83973545295551e-14
"92","Buick Regal/Buick Regal TourX","2020",1.73765123057085e-14
"93","Cadillac CT6","2018",0.0464743589745951
"94","Cadillac CT6","2019",2.10629333984987e-13
"95","Cadillac CT6","2020",0.0833333333335239
"96","Cadillac Escalade","2018",2.92648263064922e-15
"97","Cadillac Escalade","2019",3.62884804613181e-15
"98","Cadillac Escalade","2020",2.49427478490472e-15
"99","Cadillac XT4","2019",0.0196078431371417
"100","Cadillac XT4","2020",-1.20452390952208e-13
"101","Cadillac XT5","2018",0.0140114894213525
"102","Cadillac XT5","2019",0.0130571249215552
"103","Cadillac XT5","2020",9.82445840494162e-15
"104","Cadillac XTS","2018",4.70050312866126e-14
"105","Cadillac XTS","2019",0.0416666666667139
"106","Chevrolet Blazer/GMC Jimmy","2019",0.00775193798449946
"107","Chevrolet Blazer/GMC Jimmy","2020",0.0158730158730283
"108","Chevrolet Bolt","2018",-1.91947125582113e-14
"109","Chevrolet Bolt","2019",0.00370370370368339
"110","Chevrolet Bolt","2020",-2.50608167102496e-14
"111","Chevrolet Camaro","2018",-8.85267319738624e-15
"112","Chevrolet Camaro","2019",-8.71280840994999e-15
"113","Chevrolet Camaro","2020",-8.30410254950336e-15
"114","Chevrolet Colorado/GMC Canyon","2018",-3.03446002652104e-14
"115","Chevrolet Colorado/GMC Canyon","2019",0.00617283950614781
"116","Chevrolet Colorado/GMC Canyon","2020",0.0111111111110951
"117","Chevrolet Corvette","2018",-2.35264653868551e-14
"118","Chevrolet Corvette","2019",-2.09604113579414e-14
"119","Chevrolet Corvette","2020",-2.01418580509466e-14
"120","Chevrolet Cruze","2018",0.0173189383715226
"121","Chevrolet Cruze","2019",-3.50757412233055e-14
"122","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2018",0.00903128846237034
"123","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2019",0.00504559926618727
"124","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2020",8.50329863888071e-14
"125","Chevrolet Impala","2018",-2.40210422386474e-14
"126","Chevrolet Impala","2019",-2.22265017610234e-14
"127","Chevrolet Impala","2020",-2.12984809360133e-14
"128","Chevrolet Malibu","2018",-3.21218518404834e-14
"129","Chevrolet Malibu","2019",-3.16035504326113e-14
"130","Chevrolet Malibu","2020",-3.24635595648534e-14
"131","Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited","2019",0.00793650793654148
"132","Chevrolet Silverado 1500/GMC Sierra 1500","2018",0.0102249488752482
"133","Chevrolet Silverado 1500/GMC Sierra 1500","2019",0.00827545441110258
"134","Chevrolet Silverado 1500/GMC Sierra 1500","2020",0.0119617224880281
"135","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2018",2.42072904355683e-14
"136","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2019",2.24623664067394e-14
"137","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2020",2.28358859102762e-14
"138","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2018",-1.1912042261485e-13
"139","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2019",0.0196078431371475
"140","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2020",-1.38144588960561e-13
"141","Chevrolet Suburban/GMC Yukon XL","2018",9.53819129400844e-16
"142","Chevrolet Suburban/GMC Yukon XL","2019",0.0138888888888883
"143","Chevrolet Suburban/GMC Yukon XL","2020",-1.6535755697931e-14
"144","Chevrolet Tahoe/GMC Yukon","2018",-1.28259230679389e-14
"145","Chevrolet Tahoe/GMC Yukon","2019",-1.15698783589652e-14
"146","Chevrolet Tahoe/GMC Yukon","2020",-1.11644147129624e-14
"147","Chevrolet Traverse","2018",0.00387596899226219
"148","Chevrolet Traverse","2019",2.19150395964177e-14
"149","Chevrolet Traverse","2020",2.13848716405862e-14
"150","Chevrolet Trax","2018",-4.3357014249729e-14
"151","Chevrolet Trax","2019",0.020833333333301
"152","Chevrolet Trax","2020",-2.4674297660267e-14
"153","Chevrolet Volt","2018",1.57070834624963e-15
"154","Chevrolet Volt","2019",6.04593290924428e-15
"155","Chrysler 300","2018",-9.32385800243245e-15
"156","Chrysler 300","2019",-8.80240262770726e-15
"157","Chrysler 300","2020",-9.59502938132828e-15
"158","Chrysler Aspen/Dodge Durango","2018",4.19222394936391e-14
"159","Chrysler Aspen/Dodge Durango","2019",4.58871268711078e-14
"160","Chrysler Aspen/Dodge Durango","2020",4.48623479548828e-14
"161","Chrysler Pacifica","2018",0.00466200466203758
"162","Chrysler Pacifica","2019",0.00469483568078675
"163","Chrysler Pacifica","2020",0.00833333333337647
"164","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2018",0.0416666666666716
"165","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2019",0.0128205128204821
"166","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2020",-3.77100768469914e-14
