"","MMT","MY","MileGrpATC","prob"
"1","Acura MDX","2018","1","-3.76747244512643e-14"
"2","Acura MDX","2018","2","-3.29063165604992e-13"
"3","Acura MDX","2018","3","0.0270270270267503"
"4","Acura MDX","2019","1","-2.40737985102157e-13"
"5","Acura MDX","2019","2","-2.75612865863195e-13"
"6","Acura MDX","2019","3","0.059999999999715"
"7","Acura MDX","2020","1","-2.67050270785774e-13"
"8","Acura MDX","2020","2","-2.27109997474884e-13"
"9","Acura MDX","2020","3","0.0624999999998983"
"10","Acura RDX","2018","1","1.77632002320586e-13"
"11","Acura RDX","2018","2","0.00877192982472301"
"12","Acura RDX","2018","3","1.7458950951621e-13"
"13","Acura RDX","2019","1","1.74101184857722e-13"
"14","Acura RDX","2019","2","1.81532740228807e-13"
"15","Acura RDX","2019","3","0.00657894736859911"
"16","Acura RDX","2020","1","1.81854531433601e-13"
"17","Acura RDX","2020","2","0.0253164556963902"
"18","Acura RDX","2020","3","0.0361445783134324"
"19","Acura TLX","2018","1","-1.88948407504091e-14"
"20","Acura TLX","2018","2","-1.75465907561296e-14"
"21","Acura TLX","2018","3","-2.15332100062339e-14"
"22","Acura TLX","2019","1","-1.62396395107375e-14"
"23","Acura TLX","2019","2","-1.87052551211916e-14"
"24","Acura TLX","2019","3","-1.33082121641149e-14"
"25","Acura TLX","2020","1","-1.83309777727579e-14"
"26","Acura TLX","2020","2","-1.78125274495132e-14"
"27","Acura TLX","2020","3","-1.39111316721547e-14"
"28","Alfa Romeo Giulia","2018","1","5.52924405402139e-14"
"29","Alfa Romeo Giulia","2018","2","5.53740072766088e-14"
"30","Alfa Romeo Giulia","2018","3","5.49293718245282e-14"
"31","Alfa Romeo Giulia","2019","1","4.99720950800329e-14"
"32","Alfa Romeo Giulia","2019","2","5.02504668393977e-14"
"33","Alfa Romeo Giulia","2019","3","5.03118739487813e-14"
"34","Alfa Romeo Giulia","2020","1","5.23349834670331e-14"
"35","Alfa Romeo Giulia","2020","2","4.545839288671e-14"
"36","Alfa Romeo Stelvio","2018","1","-4.03903926316073e-14"
"37","Alfa Romeo Stelvio","2018","2","0.0434782608695258"
"38","Alfa Romeo Stelvio","2018","3","-3.0270661320127e-14"
"39","Alfa Romeo Stelvio","2019","1","-3.63945059058455e-14"
"40","Alfa Romeo Stelvio","2019","2","-3.63192656972896e-14"
"41","Alfa Romeo Stelvio","2019","3","-3.61986033748775e-14"
"42","Alfa Romeo Stelvio","2020","1","-3.53269691802614e-14"
"43","Audi A3","2018","1","1.25689525084606e-14"
"44","Audi A3","2018","2","1.27703718452475e-14"
"45","Audi A3","2018","3","1.28380714328745e-14"
"46","Audi A3","2019","1","9.85099558974936e-15"
"47","Audi A3","2019","2","9.80310180660124e-15"
"48","Audi A3","2019","3","9.76146844289945e-15"
"49","Audi A3","2020","1","5.5057533961656e-15"
"50","Audi A3","2020","2","2.2486454716904e-15"
"51","Audi A3","2020","3","1.20287114161349e-14"
"52","Audi A4/Audi Allroad","2018","1","-5.34960778779072e-15"
"53","Audi A4/Audi Allroad","2018","2","0.0085470085470065"
"54","Audi A4/Audi Allroad","2018","3","-2.9461205719423e-15"
"55","Audi A4/Audi Allroad","2019","1","-7.94231609930685e-15"
"56","Audi A4/Audi Allroad","2019","2","-7.85342748495378e-15"
