"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1","MMTAcura MDX","0.0624999650241272","0.0292788120512751","0.0054895215","0.119898375"
"2","MMTAcura MDX:MY2018","-0.0358307481522382","0.034860338457342","-0.10380735","0.0324362024999999"
"3","MMTAcura MDX:MY2018:MileGrpATC1","-0.0265515357323172","0.0305633282093222","-0.086695475","0.0332309074999999"
"4","MMTAcura MDX:MY2018:MileGrpATC2","-0.0265740389628917","0.0238426647942669","-0.0738796875","0.01952545"
"5","MMTAcura MDX:MY2018:MileGrpATC3","0",".",".","."
"6","MMTAcura MDX:MY2019","-0.00263977129806711","0.0335005369132645","-0.0686190225","0.0629054025"
"7","MMTAcura MDX:MY2019:MileGrpATC1","-0.0598999958048219","0.0242170905768613","-0.10696915","-0.01312796"
"8","MMTAcura MDX:MY2019:MileGrpATC2","-0.0599801977990614","0.0218849159732825","-0.103471025","-0.0171680475"
"9","MMTAcura MDX:MY2019:MileGrpATC3","0",".",".","."
"10","MMTAcura MDX:MY2020","0",".",".","."
"11","MMTAcura MDX:MY2020:MileGrpATC1","-0.0626180061983833","0.0366473268070222","-0.135309575","0.00928846049999995"
"12","MMTAcura MDX:MY2020:MileGrpATC2","-0.0623804403952596","0.0366686136069799","-0.134833925","0.00955162874999999"
"13","MMTAcura MDX:MY2020:MileGrpATC3","0",".",".","."
"14","MMTAcura RDX","0.0360075490701272","0.0102546143812706","0.0160173725","0.0559861225"
"15","MMTAcura RDX:MY2018","-0.0359966232572807","0.0164492350329094","-0.068548245","-0.00437824350000002"
"16","MMTAcura RDX:MY2018:MileGrpATC1","-3.09668109026755e-05","0.0169149381182554","-0.0332705025","0.03277357"
"17","MMTAcura RDX:MY2018:MileGrpATC2","0.00881159633637675","0.0155137470222152","-0.021817065","0.038971755"
"18","MMTAcura RDX:MY2018:MileGrpATC3","0",".",".","."
"19","MMTAcura RDX:MY2019","-0.029415777887286","0.0127669314217649","-0.0545687425","-0.00457548250000002"
"20","MMTAcura RDX:MY2019:MileGrpATC1","-0.00637202482005632","0.0145836143169518","-0.034974025","0.022246415"
"21","MMTAcura RDX:MY2019:MileGrpATC2","-0.00661353056711851","0.0109347569412456","-0.02780093","0.0148487"
"22","MMTAcura RDX:MY2019:MileGrpATC3","0",".",".","."
