"","MMT","MY","MY_prob_rate"
"1","Acura MDX","2018",0.00913767213662354
"2","Acura MDX","2019",0.020244980171392
"3","Acura MDX","2020",0.0212550102618319
"4","Acura RDX","2018",0.00321892961109033
"5","Acura RDX","2019",0.0020785023607034
"6","Acura RDX","2020",0.0205065184878015
"7","Acura TLX","2018",6.75015552006032e-10
"8","Acura TLX","2019",-1.44908933901116e-09
"9","Acura TLX","2020",-1.92642736144747e-09
"10","Alfa Romeo Giulia","2018",2.97882852093097e-09
"11","Alfa Romeo Giulia","2019",6.790950916126e-10
"12","Alfa Romeo Giulia","2020",-6.50058889270309e-10
"13","Alfa Romeo Stelvio","2018",0.0138111310656692
"14","Alfa Romeo Stelvio","2019",-0.000121260430442665
"15","Alfa Romeo Stelvio","2020",-0.00118818599905332
"16","Audi A3","2018",7.86401736250934e-09
"17","Audi A3","2019",-2.62183212807801e-09
"18","Audi A3","2020",-5.33356187012479e-09
"19","Audi A4/Audi Allroad","2018",0.00286069283208955
"20","Audi A4/Audi Allroad","2019",0.000172442015693742
"21","Audi A4/Audi Allroad","2020",0.000347547436112736
"22","Audi A5/Audi S5","2018",0.00395386497683574
"23","Audi A5/Audi S5","2019",0.000300217673886084
"24","Audi A5/Audi S5","2020",0.000211266965516176
"25","Audi A6","2018",0.000374859127981631
"26","Audi A6","2019",0.0145169053064285
"27","Audi A6","2020",-0.000469957618486745
"28","Audi A7","2018",4.77526961193331e-09
"29","Audi A7","2019",-2.70099475477059e-09
"30","Audi A7","2020",3.61908957255805e-09
"31","Audi e-tron","2019",-4.51672511086991e-09
"32","Audi e-tron","2020",5.67505382809037e-09
"33","Audi Q3","2018",0.000688633853503735
"34","Audi Q3","2019",0.033581255917224
"35","Audi Q3","2020",0.0240137429348599
"36","Audi Q5","2018",0.00493893691834033
"37","Audi Q5","2019",0.00310335225500322
"38","Audi Q5","2020",-0.000163702989981386
"39","Audi Q7","2018",0.00261654675608355
"40","Audi Q7","2019",0.00020139333969888
"41","Audi Q7","2020",1.59914541627243e-05
"42","Audi Q8","2019",-2.74423185366807e-09
"43","Audi Q8","2020",-4.2021259611517e-09
"44","Audi S4","2018",1.40559795315557e-09
"45","Audi S4","2019",-3.04618422116983e-09
"46","Audi S4","2020",9.24876225710251e-10
"47","BMW 2 Series","2018",0.00708985099196005
"48","BMW 2 Series","2019",0.000219229280508262
"49","BMW 2 Series","2020",-0.000435978125870129
"50","BMW 3 Series/BMW 3 Series Gran Turismo","2018",0.00419286070783575
"51","BMW 3 Series/BMW 3 Series Gran Turismo","2019",0.000211518751475272
"52","BMW 3 Series/BMW 3 Series Gran Turismo","2020",0.000134007890069129
"53","BMW 4 Series","2018",-1.99052130131799e-09
"54","BMW 4 Series","2019",-1.13021071140331e-09
"55","BMW 4 Series","2020",1.58928693454528e-10
"56","BMW 5 Series/BMW 5 Series Gran Turismo","2018",0.0133304110294704
"57","BMW 5 Series/BMW 5 Series Gran Turismo","2019",-0.000219836863978882
"58","BMW 5 Series/BMW 5 Series Gran Turismo","2020",-0.000591231993028722
"59","BMW 7 Series","2018",1.92067002871772e-09
"60","BMW 7 Series","2019",-4.10651166892208e-09
"61","BMW 7 Series","2020",-4.47829554481907e-09
"62","BMW i3","2018",-0.000251629198942129
"63","BMW i3","2019",5.2652994852819e-05
"64","BMW i3","2020",0.0836753677271644
"65","BMW X1","2018",0.0103766717940582
"66","BMW X1","2019",0.000665925641429468
"67","BMW X1","2020",0.000116090936875776
"68","BMW X2","2018",-6.777652139925e-09
"69","BMW X2","2019",-5.35035411416233e-09
"70","BMW X2","2020",3.26830672389106e-09
"71","BMW X3","2018",-0.000260000918418545
"72","BMW X3","2019",0.00367347779960496
"73","BMW X3","2020",0.00701658284007053
"74","BMW X5","2018",0.000359202345209214
"75","BMW X5","2019",0.0190865089731485
"76","BMW X5","2020",0.00845904929003858
"77","BMW X7","2019",0.0559202650372057
"78","BMW X7","2020",-0.000241120052722994
"79","Buick Enclave","2018",0.0194917100896866
"80","Buick Enclave","2019",0.00596335173306328
"81","Buick Enclave","2020",0.000101256444191804
"82","Buick Encore","2018",-1.37342534350448e-09
"83","Buick Encore","2019",2.53890928226525e-09
"84","Buick Encore","2020",-2.7843509814893e-09
"85","Buick Envision","2018",-0.000101491644599804
"86","Buick Envision","2019",0.0105237105977571
"87","Buick Envision","2020",5.70581457808636e-05
"88","Buick LaCrosse","2018",7.75604224218194e-10
"89","Buick LaCrosse","2019",-1.00553239427968e-09
"90","Buick Regal/Buick Regal TourX","2018",0.00906953275049243
"91","Buick Regal/Buick Regal TourX","2019",-9.19554912041422e-05
"92","Buick Regal/Buick Regal TourX","2020",-0.000411934285539931
"93","Cadillac CT6","2018",0.0470593024145553
"94","Cadillac CT6","2019",-0.00114057657732081
"95","Cadillac CT6","2020",0.0824857762083131
"96","Cadillac Escalade","2018",1.08065702310218e-09
"97","Cadillac Escalade","2019",1.22286484016966e-10
"98","Cadillac Escalade","2020",-4.64746666287625e-09
"99","Cadillac XT4","2019",0.0196805146553858
"100","Cadillac XT4","2020",-0.000414618555745076
"101","Cadillac XT5","2018",0.0134657332838998
"102","Cadillac XT5","2019",0.0126220136474272
"103","Cadillac XT5","2020",-8.59432571956905e-05
