"","MMT","MY","MileGrpATC","prob.Estimate","prob.Est.Error","prob.Q2.5","prob.Q97.5"
"1","Acura MDX","2018","1",0.000569914206529389,0.118852293271049,-0.232185035740339,0.233120445600051
"2","Acura MDX","2018","2",0.000616858298441817,0.117781372911169,-0.230533405276197,0.233502224978126
"3","Acura MDX","2018","3",0.0262262439048994,0.118925325800328,-0.205604867190443,0.260647099678124
"4","Acura MDX","2019","1",-0.0004469588097084,0.117839799654945,-0.232514722825869,0.228747338204384
"5","Acura MDX","2019","2",0.00064812139956145,0.118133861948173,-0.228997370411656,0.23538453071873
"6","Acura MDX","2019","3",0.0605337779243231,0.117027836940807,-0.167103064700723,0.291280549922113
"7","Acura MDX","2020","1",0.00177986815643585,0.118859844870734,-0.226991971062296,0.237851387992204
"8","Acura MDX","2020","2",0.000134251686137205,0.118586128243667,-0.233606269560668,0.229884010627075
"9","Acura MDX","2020","3",0.0618509109429226,0.119994258845155,-0.171175517103437,0.297587468999126
"10","Acura RDX","2018","1",0.000477491288238704,0.0943267049037908,-0.184735570061175,0.185021766690959
"11","Acura RDX","2018","2",0.00864441353869956,0.0937030772783274,-0.174533006933176,0.192319071600645
"12","Acura RDX","2018","3",0.000534884006332716,0.0945166087593197,-0.183819994403055,0.186827233360763
"13","Acura RDX","2019","1",0.000585589232864593,0.093800308894026,-0.180413260310403,0.186371938272387
"14","Acura RDX","2019","2",-9.14278310095966e-06,0.0942415775838451,-0.186381764900082,0.184389620167011
"15","Acura RDX","2019","3",0.00565906063234657,0.093589538148255,-0.177751581503628,0.189782729457292
"16","Acura RDX","2020","1",0.000572625807906156,0.0942108262421936,-0.184364267732026,0.185728747691701
"17","Acura RDX","2020","2",0.0256353486287439,0.0939502591901006,-0.16072334456974,0.208373358632091
"18","Acura RDX","2020","3",0.0353115810267544,0.0936518439205935,-0.150414011855848,0.216674650482721
"19","Acura TLX","2018","1",5.264231902242e-09,9.33996212076189e-07,-1.86353566281896e-06,1.89179192151047e-06
"20","Acura TLX","2018","2",-5.18996728398038e-09,9.21388987773836e-07,-1.88391777108718e-06,1.830679384326e-06
"21","Acura TLX","2018","3",1.95078203775647e-09,9.29980584680791e-07,-1.89307457303923e-06,1.87633074068324e-06
"22","Acura TLX","2019","1",-3.67068763289326e-09,9.44849267228303e-07,-1.93467025822016e-06,1.95433264823234e-06
"23","Acura TLX","2019","2",-1.1080598149886e-09,9.29952970799226e-07,-1.88803475040314e-06,1.8776896969357e-06
"24","Acura TLX","2019","3",4.31479430848371e-10,9.19226115563427e-07,-1.86408985063063e-06,1.85248064439532e-06
"25","Acura TLX","2020","1",-7.51181035106419e-09,9.44767683250706e-07,-1.92112510755394e-06,1.92017290484833e-06
"26","Acura TLX","2020","2",-3.61946396257974e-09,9.43905450153092e-07,-1.94249898146808e-06,1.93606850615072e-06
