"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1","MMTAcura MDX","-3.12201095169737","1.20255668914303","-5.95400625","-1.2506575"
"2","MMTAcura MDX:MY2018","-1.07964718533968","1.78440920962909","-4.826464","2.36648"
"3","MMTAcura MDX:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"4","MMTAcura MDX:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"5","MMTAcura MDX:MY2018:MileGrpATC3","0",".",".","."
"6","MMTAcura MDX:MY2019","0.197626245384548","1.36643055921316","-2.152703","3.21481424999999"
"7","MMTAcura MDX:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"8","MMTAcura MDX:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"9","MMTAcura MDX:MY2019:MileGrpATC3","0",".",".","."
"10","MMTAcura MDX:MY2020","0",".",".","."
"11","MMTAcura MDX:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"12","MMTAcura MDX:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"13","MMTAcura MDX:MY2020:MileGrpATC3","0",".",".","."
"14","MMTAcura RDX","-3.43720128859649","0.632367544453216","-4.8418655","-2.36903675"
"15","MMTAcura RDX:MY2018","-6.78309756139303","4.46486788535589","-17.0913425","-0.420148625000002"
"16","MMTAcura RDX:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"17","MMTAcura RDX:MY2018:MileGrpATC2","4.76403513908557","4.57095700159918","-2.24992025","15.278645"
"18","MMTAcura RDX:MY2018:MileGrpATC3","0",".",".","."
"19","MMTAcura RDX:MY2019","-2.19968973385719","1.42254170677512","-5.4725685","0.208069074999999"
"20","MMTAcura RDX:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"21","MMTAcura RDX:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"22","MMTAcura RDX:MY2019:MileGrpATC3","0",".",".","."
"23","MMTAcura RDX:MY2020","0",".",".","."
"24","MMTAcura RDX:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"25","MMTAcura RDX:MY2020:MileGrpATC2","-0.491118671398632","1.03271500300955","-2.624525","1.45527"
"26","MMTAcura RDX:MY2020:MileGrpATC3","0",".",".","."
"27","MMTAcura TLX","-1e+13","0","-1e+13","-1e+13"
"28","MMTAcura TLX:MY2018","-1e+13","0","-1e+13","-1e+13"
"29","MMTAcura TLX:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"30","MMTAcura TLX:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"31","MMTAcura TLX:MY2018:MileGrpATC3","0",".",".","."
"32","MMTAcura TLX:MY2019","-1e+13","0","-1e+13","-1e+13"
"33","MMTAcura TLX:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
