"","MMT","MY","MY_prob_rate"
"1","Acura MDX","2018",0.00871345029239766
"2","Acura MDX","2019",0.0197222222222222
"3","Acura MDX","2020",0.0217690058479532
"4","Acura RDX","2018",0.00353801169590643
"5","Acura RDX","2019",0.00213450292397661
"6","Acura RDX","2020",0.0205263157894737
"7","Acura TLX","2018",0
"8","Acura TLX","2019",0
"9","Acura TLX","2020",0
"10","Alfa Romeo Giulia","2018",0
"11","Alfa Romeo Giulia","2019",0
"12","Alfa Romeo Giulia","2020",0
"13","Alfa Romeo Stelvio","2018",0.0164912280701754
"14","Alfa Romeo Stelvio","2019",0
"15","Alfa Romeo Stelvio","2020",0.0187280701754386
"16","Audi A3","2018",0
"17","Audi A3","2019",0
"18","Audi A3","2020",0
"19","Audi A4/Audi Allroad","2018",0.00315789473684211
"20","Audi A4/Audi Allroad","2019",0
"21","Audi A4/Audi Allroad","2020",0.0182163742690058
"22","Audi A5/Audi S5","2018",0.00428362573099415
"23","Audi A5/Audi S5","2019",0
"24","Audi A5/Audi S5","2020",0.00399122807017544
"25","Audi A6","2018",0
"26","Audi A6","2019",0.0139181286549708
"27","Audi A6","2020",0.0280847953216374
"28","Audi A7","2018",0
"29","Audi A7","2019",0
"30","Audi A7","2020",0
"31","Audi e-tron","2019",0
"32","Audi e-tron","2020",0
"33","Audi Q3","2018",0
"34","Audi Q3","2019",0.0361622807017544
"35","Audi Q3","2020",0.0254093567251462
"36","Audi Q5","2018",0.0043859649122807
"37","Audi Q5","2019",0.00285087719298246
"38","Audi Q5","2020",0.00261695906432749
"39","Audi Q7","2018",0.00192982456140351
"40","Audi Q7","2019",0
"41","Audi Q7","2020",0.00948830409356725
"42","Audi Q8","2019",0
"43","Audi Q8","2020",0
"44","Audi S4","2018",0
"45","Audi S4","2019",0
"46","Audi S4","2020",0
"47","BMW 2 Series","2018",0.00978070175438596
"48","BMW 2 Series","2019",0
"49","BMW 2 Series","2020",0.00248538011695906
"50","BMW 3 Series/BMW 3 Series Gran Turismo","2018",0.00546783625730994
"51","BMW 3 Series/BMW 3 Series Gran Turismo","2019",0
"52","BMW 3 Series/BMW 3 Series Gran Turismo","2020",0.00119883040935673
"53","BMW 4 Series","2018",0
"54","BMW 4 Series","2019",0
"55","BMW 4 Series","2020",0
"56","BMW 5 Series/BMW 5 Series Gran Turismo","2018",0.0133040935672515
"57","BMW 5 Series/BMW 5 Series Gran Turismo","2019",0
"58","BMW 5 Series/BMW 5 Series Gran Turismo","2020",0.00283625730994152
"59","BMW 7 Series","2018",0
"60","BMW 7 Series","2019",0
"61","BMW 7 Series","2020",0
"62","BMW i3","2018",0
"63","BMW i3","2019",0
"64","BMW i3","2020",0.0942397660818713
"65","BMW X1","2018",0.0104093567251462
"66","BMW X1","2019",0
"67","BMW X1","2020",0.00706140350877193
"68","BMW X2","2018",0
"69","BMW X2","2019",0
"70","BMW X2","2020",0
"71","BMW X3","2018",0
"72","BMW X3","2019",0.00394736842105263
"73","BMW X3","2020",0.00771929824561403
"74","BMW X5","2018",0
"75","BMW X5","2019",0.0199269005847953
"76","BMW X5","2020",0.00909356725146199
"77","BMW X7","2019",0.0654970760233918
"78","BMW X7","2020",0.00239766081871345
"79","Buick Enclave","2018",0.0183771929824561
"80","Buick Enclave","2019",0.00612573099415205
"81","Buick Enclave","2020",0.00254385964912281
"82","Buick Encore","2018",0
"83","Buick Encore","2019",0
"84","Buick Encore","2020",0
"85","Buick Envision","2018",0
"86","Buick Envision","2019",0.0110818713450292
"87","Buick Envision","2020",0.00255847953216374
"88","Buick LaCrosse","2018",0
"89","Buick LaCrosse","2019",0
"90","Buick Regal/Buick Regal TourX","2018",0.0105409356725146
"91","Buick Regal/Buick Regal TourX","2019",0
"92","Buick Regal/Buick Regal TourX","2020",0.0111111111111111
"93","Cadillac CT6","2018",0.0507894736842105
"94","Cadillac CT6","2019",0
"95","Cadillac CT6","2020",0.0915643274853801
"96","Cadillac Escalade","2018",0
"97","Cadillac Escalade","2019",0
"98","Cadillac Escalade","2020",0
"99","Cadillac XT4","2019",0.018406432748538
"100","Cadillac XT4","2020",0.00555555555555556
"101","Cadillac XT5","2018",0.0136111111111111
"102","Cadillac XT5","2019",0.0124853801169591
"103","Cadillac XT5","2020",0.00359649122807018
"104","Cadillac XTS","2018",0
"105","Cadillac XTS","2019",0.0409356725146199
"106","Chevrolet Blazer/GMC Jimmy","2019",0.00951754385964912
"107","Chevrolet Blazer/GMC Jimmy","2020",0.0206140350877193
"108","Chevrolet Bolt","2018",0
"109","Chevrolet Bolt","2019",0.00384502923976608
"110","Chevrolet Bolt","2020",0.00309941520467836
"111","Chevrolet Camaro","2018",0
"112","Chevrolet Camaro","2019",0
"113","Chevrolet Camaro","2020",0
"114","Chevrolet Colorado/GMC Canyon","2018",0
"115","Chevrolet Colorado/GMC Canyon","2019",0.00548245614035088
"116","Chevrolet Colorado/GMC Canyon","2020",0.0139035087719298
"117","Chevrolet Corvette","2018",0
"118","Chevrolet Corvette","2019",0
"119","Chevrolet Corvette","2020",0
"120","Chevrolet Cruze","2018",0.0180555555555556
"121","Chevrolet Cruze","2019",0.00369883040935673
"122","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2018",0.00912280701754386
"123","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2019",0.00514619883040936
"124","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2020",0.000745614035087719
"125","Chevrolet Impala","2018",0
"126","Chevrolet Impala","2019",0
"127","Chevrolet Impala","2020",0
"128","Chevrolet Malibu","2018",0
"129","Chevrolet Malibu","2019",0
"130","Chevrolet Malibu","2020",0
"131","Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited","2019",0.00843567251461988
"132","Chevrolet Silverado 1500/GMC Sierra 1500","2018",0.0110380116959064
"133","Chevrolet Silverado 1500/GMC Sierra 1500","2019",0.00817251461988304
"134","Chevrolet Silverado 1500/GMC Sierra 1500","2020",0.012719298245614
"135","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2018",0
"136","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2019",0
"137","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2020",0
"138","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2018",0
"139","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2019",0.0185380116959064
"140","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2020",0.0060233918128655
"141","Chevrolet Suburban/GMC Yukon XL","2018",0
"142","Chevrolet Suburban/GMC Yukon XL","2019",0.0133918128654971
"143","Chevrolet Suburban/GMC Yukon XL","2020",0.00299707602339181
"144","Chevrolet Tahoe/GMC Yukon","2018",0
"145","Chevrolet Tahoe/GMC Yukon","2019",0
"146","Chevrolet Tahoe/GMC Yukon","2020",0
"147","Chevrolet Traverse","2018",0.00362573099415205
"148","Chevrolet Traverse","2019",0
"149","Chevrolet Traverse","2020",0.00134502923976608
"150","Chevrolet Trax","2018",0
"151","Chevrolet Trax","2019",0.0203801169590643
"152","Chevrolet Trax","2020",0.00773391812865497
"153","Chevrolet Volt","2018",0
"154","Chevrolet Volt","2019",0
"155","Chrysler 300","2018",0
"156","Chrysler 300","2019",0
"157","Chrysler 300","2020",0
"158","Chrysler Aspen/Dodge Durango","2018",0
"159","Chrysler Aspen/Dodge Durango","2019",0
"160","Chrysler Aspen/Dodge Durango","2020",0
"161","Chrysler Pacifica","2018",0.00469298245614035
"162","Chrysler Pacifica","2019",0.00445906432748538
"163","Chrysler Pacifica","2020",0.0104970760233918
"164","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2018",0.0404678362573099
"165","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2019",0.0131578947368421
"166","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2020",0.0169078947368421
"167","Dodge Challenger","2018",0
"168","Dodge Challenger","2019",0
"169","Dodge Challenger","2020",0
"170","Dodge Charger","2018",0
"171","Dodge Charger","2019",0
"172","Dodge Charger","2020",0
"173","Dodge Ram 1500/Ram 1500","2018",0.00475146198830409
"174","Dodge Ram 1500/Ram 1500","2019",0.0114473684210526
"175","Dodge Ram 1500/Ram 1500","2020",0.00590643274853801
"176","Dodge Ram 2500/Ram 2500","2018",0.0100438596491228
"177","Dodge Ram 2500/Ram 2500","2019",0
"178","Dodge Ram 2500/Ram 2500","2020",0.0161695906432749
"179","Dodge Ram 3500/Ram 3500","2018",0
"180","Dodge Ram 3500/Ram 3500","2019",0
"181","Dodge Ram 3500/Ram 3500","2020",0
"182","Ford EcoSport","2018",0.0424707602339181
"183","Ford EcoSport","2019",0.0372222222222222
"184","Ford EcoSport","2020",0.0422149122807018
"185","Ford Edge","2018",0.00836257309941521
"186","Ford Edge","2019",0.00969298245614035
"187","Ford Edge","2020",0.00323099415204678
"188","Ford Escape/Mazda Tribute/Mercury Mariner","2018",0.00406432748538012
"189","Ford Escape/Mazda Tribute/Mercury Mariner","2019",0
"190","Ford Escape/Mazda Tribute/Mercury Mariner","2020",0.00909356725146199
"191","Ford Expedition","2018",0.0149415204678363
"192","Ford Expedition","2019",0
"193","Ford Expedition","2020",0.00741228070175439
"194","Ford Explorer/Mercury Mountaineer","2018",0.00298245614035088
"195","Ford Explorer/Mercury Mountaineer","2019",0.00719298245614035
"196","Ford Explorer/Mercury Mountaineer","2020",0.0175877192982456
"197","Ford F-150","2018",0.0232456140350877
"198","Ford F-150","2019",0.0045906432748538
"199","Ford F-150","2020",0.0066374269005848
"200","Ford F-250","2018",0
"201","Ford F-250","2019",0.00771929824561404
"202","Ford F-250","2020",0.00391812865497076
"203","Ford F-350","2018",0.0284210526315789
"204","Ford F-350","2019",0.0108625730994152
"205","Ford F-350","2020",0.028406432748538
"206","Ford Flex","2018",0.0182163742690058
"207","Ford Flex","2019",0.0165350877192982
"208","Ford Focus","2018",0
"209","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2018",0.00505847953216374
