"","MMT","MY","MileGrpATC","prob.Estimate","prob.Est.Error","prob.Q2.5","prob.Q97.5"
"1","Acura MDX","2018","1",0,0,0,0
"2","Acura MDX","2018","2",0,0,0,0
"3","Acura MDX","2018","3",0.026140350877193,0.159556101477554,0,1
"4","Acura MDX","2019","1",0,0,0,0
"5","Acura MDX","2019","2",0,0,0,0
"6","Acura MDX","2019","3",0.0591666666666667,0.235941547463179,0,1
"7","Acura MDX","2020","1",0,0,0,0
"8","Acura MDX","2020","2",0,0,0,0
"9","Acura MDX","2020","3",0.0653070175438596,0.24707223316674,0,1
"10","Acura RDX","2018","1",0,0,0,0
"11","Acura RDX","2018","2",0.00815789473684211,0.0899538681178129,0,0
"12","Acura RDX","2018","3",0.00245614035087719,0.0494996483930193,0,0
"13","Acura RDX","2019","1",0,0,0,0
"14","Acura RDX","2019","2",0,0,0,0
"15","Acura RDX","2019","3",0.00640350877192982,0.0797670540810165,0,0
"16","Acura RDX","2020","1",0,0,0,0
"17","Acura RDX","2020","2",0.0234649122807018,0.151378053990816,0,0
"18","Acura RDX","2020","3",0.0381140350877193,0.191475751576443,0,1
"19","Acura TLX","2018","1",0,0,0,0
"20","Acura TLX","2018","2",0,0,0,0
"21","Acura TLX","2018","3",0,0,0,0
"22","Acura TLX","2019","1",0,0,0,0
"23","Acura TLX","2019","2",0,0,0,0
"24","Acura TLX","2019","3",0,0,0,0
"25","Acura TLX","2020","1",0,0,0,0
"26","Acura TLX","2020","2",0,0,0,0
"27","Acura TLX","2020","3",0,0,0,0
"28","Alfa Romeo Giulia","2018","1",0,0,0,0
"29","Alfa Romeo Giulia","2018","2",0,0,0,0
"30","Alfa Romeo Giulia","2018","3",0,0,0,0
"31","Alfa Romeo Giulia","2019","1",0,0,0,0
"32","Alfa Romeo Giulia","2019","2",0,0,0,0
"33","Alfa Romeo Giulia","2019","3",0,0,0,0
"34","Alfa Romeo Giulia","2020","1",0,0,0,0
"35","Alfa Romeo Giulia","2020","2",0,0,0,0
"36","Alfa Romeo Stelvio","2018","1",0,0,0,0
"37","Alfa Romeo Stelvio","2018","2",0.0409649122807018,0.198213297795233,0,1
"38","Alfa Romeo Stelvio","2018","3",0.00850877192982456,0.0918517433838253,0,0
"39","Alfa Romeo Stelvio","2019","1",0,0,0,0
"40","Alfa Romeo Stelvio","2019","2",0,0,0,0
"41","Alfa Romeo Stelvio","2019","3",0,0,0,0
"42","Alfa Romeo Stelvio","2020","1",0.0187280701754386,0.135565982538107,0,0
"43","Audi A3","2018","1",0,0,0,0
"44","Audi A3","2018","2",0,0,0,0
