"","MMT","MY","MY_prob_rate"
"1","Acura MDX",2018,0.009635641693329
"2","Acura MDX",2019,0.0147389889804239
"3","Acura MDX",2020,0.013933998379038
"4","Acura RDX",2018,0.00509137291052452
"5","Acura RDX",2019,0.00356447228427472
"6","Acura RDX",2020,0.01871587014496
"7","Acura TLX",2018,0.0046323591309473
"8","Acura TLX",2019,0.00513516354339963
"9","Acura TLX",2020,0.00607915903823516
"10","Alfa Romeo Giulia",2018,0.00911888598909984
"11","Alfa Romeo Giulia",2019,0.0110636720496894
"12","Alfa Romeo Giulia",2020,0.0138751287329929
"13","Alfa Romeo Stelvio",2018,0.0191777893628567
"14","Alfa Romeo Stelvio",2019,0.0135457290610736
"15","Alfa Romeo Stelvio",2020,0.021092155093253
"16","Audi A3",2018,0.00656355458657334
"17","Audi A3",2019,0.00887946890423537
"18","Audi A3",2020,0.0141216357664044
"19","Audi A4/Audi Allroad",2018,0.00426877415519927
"20","Audi A4/Audi Allroad",2019,0.00347777306721717
"21","Audi A4/Audi Allroad",2020,0.0087705639642052
"22","Audi A5/Audi S5",2018,0.00495408571045305
"23","Audi A5/Audi S5",2019,0.00383900874548442
"24","Audi A5/Audi S5",2020,0.00920227321024853
"25","Audi A6",2018,0.00701440897061452
"26","Audi A6",2019,0.00892427753394087
"27","Audi A6",2020,0.0149530167203616
"28","Audi A7",2018,0.0108934211180155
"29","Audi A7",2019,0.00787064506963794
"30","Audi A7",2020,0.0167591763845469
"31","Audi e-tron",2019,0.00645257452547869
"32","Audi e-tron",2020,0.0202246246623277
"33","Audi Q3",2018,0.00684849521084401
"34","Audi Q3",2019,0.0279542173422644
"35","Audi Q3",2020,0.021203418030991
"36","Audi Q5",2018,0.00441551270594506
"37","Audi Q5",2019,0.00399101682814882
"38","Audi Q5",2020,0.00406640132646266
"39","Audi Q7",2018,0.00370825736854494
"40","Audi Q7",2019,0.00257133516946576
"41","Audi Q7",2020,0.00765050768778751
"42","Audi Q8",2019,0.00617389095481481
"43","Audi Q8",2020,0.0123721644327059
"44","Audi S4",2018,0.0102474669931664
"45","Audi S4",2019,0.0107202502287771
"46","Audi S4",2020,0.017316014923122
"47","BMW 2 Series",2018,0.0116296573125283
"48","BMW 2 Series",2019,0.00823565025867857
"49","BMW 2 Series",2020,0.00909028262252715
"50","BMW 3 Series/BMW 3 Series Gran Turismo",2018,0.00660170380408706
"51","BMW 3 Series/BMW 3 Series Gran Turismo",2019,0.00477440935012712
"52","BMW 3 Series/BMW 3 Series Gran Turismo",2020,0.00481105868192244
"53","BMW 4 Series",2018,0.00444143094014241
"54","BMW 4 Series",2019,0.00494512494278036
"55","BMW 4 Series",2020,0.00749869940577563
"56","BMW 5 Series/BMW 5 Series Gran Turismo",2018,0.0107419319126017
"57","BMW 5 Series/BMW 5 Series Gran Turismo",2019,0.00340606051108701
"58","BMW 5 Series/BMW 5 Series Gran Turismo",2020,0.00617296889439998
"59","BMW 7 Series",2018,0.0102087001642182
"60","BMW 7 Series",2019,0.00950945453240939
"61","BMW 7 Series",2020,0.012585351989247
"62","BMW i3",2018,0.0135445389743717
"63","BMW i3",2019,0.019018294508064
"64","BMW i3",2020,0.0455699901413836
"65","BMW X1",2018,0.0116317267904746
"66","BMW X1",2019,0.0093620777436382
"67","BMW X1",2020,0.0101409024178992
"68","BMW X2",2018,0.0105851295370695
"69","BMW X2",2019,0.0121766219732302
"70","BMW X2",2020,0.0137936759670107
"71","BMW X3",2018,0.00252566553141452
"72","BMW X3",2019,0.0048327573737198
"73","BMW X3",2020,0.00764884515650865
"74","BMW X5",2018,0.00443972573367472
"75","BMW X5",2019,0.014870997107995
"76","BMW X5",2020,0.00892015428310436
"77","BMW X7",2019,0.0357817697833259
"78","BMW X7",2020,0.0107809123685551
"79","Buick Enclave",2018,0.0143764165753782
"80","Buick Enclave",2019,0.00842771656901252
"81","Buick Enclave",2020,0.00672137035077756
"82","Buick Encore",2018,0.00396092298400829
"83","Buick Encore",2019,0.0029568189640833
"84","Buick Encore",2020,0.00771021179630316
"85","Buick Envision",2018,0.00762826060760911
