"MMT","MY","MileGrpATC","prob_rate"
"Acura MDX",2018,1,0.00812535960377947
"Acura MDX",2018,2,0.00577759840377572
"Acura MDX",2018,3,0.0150039670724318
"Acura MDX",2019,1,0.00526584511758968
"Acura MDX",2019,2,0.00443605058377511
"Acura MDX",2019,3,0.0345150712399071
"Acura MDX",2020,1,0.00859206193812802
"Acura MDX",2020,2,0.00829431877170872
"Acura MDX",2020,3,0.0249156144272772
"Acura RDX",2018,1,0.00329578050516122
"Acura RDX",2018,2,0.00846349794001946
"Acura RDX",2018,3,0.00351484028639287
"Acura RDX",2019,1,0.00304106993915633
"Acura RDX",2019,2,0.00183119046890512
"Acura RDX",2019,3,0.00582115644476271
"Acura RDX",2020,1,0.00698085457145887
"Acura RDX",2020,2,0.0221756393884261
"Acura RDX",2020,3,0.026991116474995
"Acura TLX",2018,1,0.00487702852877395
"Acura TLX",2018,2,0.00449576427412363
"Acura TLX",2018,3,0.00452428458994432
"Acura TLX",2019,1,0.00549806064177136
"Acura TLX",2019,2,0.0046939681944779
"Acura TLX",2019,3,0.00521346179394962
"Acura TLX",2020,1,0.00600863137829827
"Acura TLX",2020,2,0.00568275817619105
"Acura TLX",2020,3,0.00654608756021617
"Alfa Romeo Giulia",2018,1,0.00817834634141433
"Alfa Romeo Giulia",2018,2,0.00867447748686587
"Alfa Romeo Giulia",2018,3,0.0105038341390193
"Alfa Romeo Giulia",2019,1,0.0096228707659866
"Alfa Romeo Giulia",2019,2,0.0113267411941706
"Alfa Romeo Giulia",2019,3,0.012241404188911
"Alfa Romeo Giulia",2020,1,0.0122362721130596
"Alfa Romeo Giulia",2020,2,0.0155139853529261
"Alfa Romeo Stelvio",2018,1,0.0145162544041987
"Alfa Romeo Stelvio",2018,2,0.0269287598630269
"Alfa Romeo Stelvio",2018,3,0.0160883538213446
"Alfa Romeo Stelvio",2019,1,0.0121863674594498
"Alfa Romeo Stelvio",2019,2,0.012402659312434
"Alfa Romeo Stelvio",2019,3,0.016048160411337
"Alfa Romeo Stelvio",2020,1,0.021092155093253
"Audi A3",2018,1,0.00600372335495494
"Audi A3",2018,2,0.0062943985359066
"Audi A3",2018,3,0.00739254186885849
"Audi A3",2019,1,0.00695334200168813
"Audi A3",2019,2,0.00886480616920428
"Audi A3",2019,3,0.0108202585418137
"Audi A3",2020,1,0.01498132364314
"Audi A3",2020,2,0.0140044209712482
"Audi A3",2020,3,0.0133791626848251
"Audi A4/Audi Allroad",2018,1,0.00301593904226711
"Audi A4/Audi Allroad",2018,2,0.00659197092432156
