"","MakeName","MMT","MY","cnt","q19_2_mean","y_pred_mean","%_deviation","sample_num","run"
"1","Nissan","Nissan Rogue","2018",145,0.0138,0.0182,32.2,300,1
"2","Nissan","Nissan Rogue","2019",111,0.009,0.0166,84.1,300,1
"3","Nissan","Nissan Rogue","2020",44,0,0.0134,Inf,300,1
"4","Nissan","Nissan Rogue","2018",146,0.0068,0.0077,13.1,300,2
"5","Nissan","Nissan Rogue","2019",114,0,0.004,Inf,300,2
"6","Nissan","Nissan Rogue","2020",40,0,0.0022,Inf,300,2
"7","Nissan","Nissan Rogue","2018",136,0,0.0022,Inf,300,3
"8","Nissan","Nissan Rogue","2019",115,0,0.0022,Inf,300,3
"9","Nissan","Nissan Rogue","2020",49,0,0.0016,Inf,300,3
"10","Nissan","Nissan Rogue","2018",156,0.0064,0.0082,28.4,300,4
"11","Nissan","Nissan Rogue","2019",105,0,0.0037,Inf,300,4
"12","Nissan","Nissan Rogue","2020",39,0,0.0024,Inf,300,4
"13","Nissan","Nissan Rogue","2018",138,0.0072,0.0099,37.1,300,5
"14","Nissan","Nissan Rogue","2019",111,0.009,0.0099,9.6,300,5
"15","Nissan","Nissan Rogue","2020",51,0,0.0082,Inf,300,5
